{2a9c3e00-2410-488b-b7f4-4ae766070f55} event:/Music/hacker_music
{74454e42-caee-4f75-8dc7-a1ca25b8d807} event:/Sound Design/drone/_noarmor/_hit/drone_noarmor_hit_bullet
{7b814e47-6265-454a-bcba-59dc68eeed95} event:/Sound Design/drone/_noarmor/_hit/drone_noarmor_hit_explosion
{acb8244a-0fd2-4d23-b0ff-8245f7672c4b} event:/Sound Design/drone/_noarmor/_hit/drone_noarmor_hit_laser
{ae2e65fc-0f4e-4f63-9f4a-4ead6dc64a19} event:/Sound Design/drone/_noarmor/drone_noarmor_drop
{17430cff-aa43-407d-9ca4-fa62dee66b35} event:/Sound Design/drone/_noarmor/drone_noarmor_explode
{30f725fe-fedc-403d-9503-7f82d046040f} event:/Sound Design/drone/_noarmor/drone_noarmor_shutdown
{faaa18c0-2420-4ada-8d3d-850e92e076d0} event:/Sound Design/drone/drone_engine
{441d14c0-7bf5-4e2c-8097-12bd07626828} event:/Sound Design/envi/_camera/envi_camera_alert
{6162bf65-0483-476b-9288-d62d96e2efb5} event:/Sound Design/envi/_camera/envi_camera_disable
{b67f236f-61ba-4d1d-94ee-8c7fac28258b} event:/Sound Design/envi/_camera/envi_camera_enable
{f7724515-55d7-491e-a9bc-dc80188b086b} event:/Sound Design/envi/_camera/envi_camera_move_loop
{2773ab14-5dc5-4f8e-b03f-6f23bf099f66} event:/Sound Design/envi/_camera/envi_camera_neutral
{14fba66b-95d0-42c6-b920-85c5ebcf73d9} event:/Sound Design/envi/_camera/envi_camera_switch
{8079fd5e-7a3f-4771-ba8e-d81bcee616db} event:/Sound Design/envi/_door/envi_door_close_alert
{91d0d5ae-dcba-4561-96d1-aca27297457a} event:/Sound Design/envi/_door/envi_door_close_mechanic
{e05c2cf2-a474-4511-b233-9590ef3ca41e} event:/Sound Design/envi/_door/envi_door_lock
{7bafd9a7-1e3b-49d4-a0d4-09164b4f9f8d} event:/Sound Design/envi/_door/envi_door_open
{bb5ff806-75c0-4bee-8936-f074d1171179} event:/Sound Design/envi/_door/envi_door_open_mechanic
{a465e351-73d3-4c93-b43a-df907bad7416} event:/Sound Design/envi/_door/envi_door_unlock
{51a52b87-03f9-4179-8c07-fe629e97c0a8} event:/Sound Design/envi/_fusebox/envi_fusebox_discharge
{ee37dbdf-7621-4867-9d7a-90c3eb868f37} event:/Sound Design/envi/_fusebox/envi_fusebox_primed
{4a9a12ce-f033-4583-9f35-3fe73a91d53e} event:/Sound Design/envi/_gaspipe/envi_gaspipe_explode_heavy
{5ecfe4df-65fa-421d-be4b-b11de535b30e} event:/Sound Design/envi/_gaspipe/envi_gaspipe_explode_light
{54b7144e-ed5d-4a61-aa85-28323746cdeb} event:/Sound Design/envi/_gaspipe/envi_gaspipe_idle
{56b18f91-7efd-4f7b-aa1a-89114b614ee0} event:/Sound Design/envi/_light/envi_light_explode
{4cf580fc-7c52-4cde-b1de-7395ddd7c571} event:/Sound Design/envi/_light/envi_light_toggle
{ae963af6-be65-4d93-bf41-87f04bbdd1b9} event:/Sound Design/envi/_security/envi_security_activate
{9a9ec39e-a7f4-40ac-9b37-b3a978d5cad0} event:/Sound Design/envi/_security/envi_security_interact
{1150f9f7-699f-44c7-91bf-3faf4de95c99} event:/Sound Design/envi/_turret/envi_turret_control
{a18a4c75-6c3f-42db-b651-30fe9cf24b9e} event:/Sound Design/envi/_turret/envi_turret_disable
{690dabf4-135e-4305-837e-66218cd713fd} event:/Sound Design/envi/_turret/envi_turret_enable
{dacea39e-ae96-44a4-b131-17f884eaaa33} event:/Sound Design/envi/_turret/envi_turret_rotate
{e4baecdd-9e80-498c-abd2-ec6a6b5f23fa} event:/Sound Design/envi/_turret/envi_turret_tilt
{93cc2fbc-e9c3-4e15-9c3c-634665982752} event:/Sound Design/envi/envi_alarm
{01e17d98-4a06-40b7-8cc4-165a1b80f2a9} event:/Sound Design/envi/envi_exit_unlock
{5cf41160-7c1b-4c16-bbee-8db19f0051d6} event:/Sound Design/envi/envi_lasergate_idle
{56e99902-c2ca-49a2-ba4e-54dd3c4d629b} event:/Sound Design/hacker/hacker_button_negative
{96bd0900-9a5f-427b-b7da-4f64ce4264d6} event:/Sound Design/hacker/hacker_button_neutral
{a28ea743-d8a3-4f26-b475-6f48f8dd4cea} event:/Sound Design/hacker/hacker_button_positive
{b25650aa-3a17-4933-9f45-59982d207180} event:/Sound Design/module/module_keypad_keypress
{0d856b83-c6d1-4176-b8b1-cc171171a6dd} event:/Sound Design/module/module_server_destroy
{05a4e9ae-a685-4666-af02-d2e42ec71f06} event:/Sound Design/shooter/weaponchange/shooter_weaponchange_grenade
{cae73569-d7f5-4c09-83fd-016b5a6d4107} event:/Sound Design/shooter/weaponchange/shooter_weaponchange_laser
{43dd9efb-f03b-4826-b057-ff4bcff3fa41} event:/Sound Design/shooter/weaponchange/shooter_weaponchange_mg
{ac803f55-8639-4841-bac6-0c3b373fa83f} event:/Sound Design/shooter/weaponchange/shooter_weaponchange_pistol
{c29eaad5-7658-48a2-a3bd-aada4c6d1776} event:/Sound Design/shooter/shooter_footstep
{3dec0a63-e869-4d5c-b6d8-d25a1391fb0f} event:/Sound Design/shooter/shooter_gethit_bullet
{70479da0-8cf2-4664-97fa-32eb4d9fd205} event:/Sound Design/shooter/shooter_gethit_laser
{f196f5b9-9a3d-4120-876d-f3d1b9e523b1} event:/Sound Design/weapon/_ammo/weapon_ammo_mg_collect
{45939148-c8ec-4b59-bc0d-ffa1dbdae719} event:/Sound Design/weapon/_ep/weapon_ep_empty
{6612f5e1-79e4-40cb-9dd8-ea253754e7c9} event:/Sound Design/weapon/_ep/weapon_ep_reload
{e375cec8-dd04-4b72-bd91-b8f04b8853b1} event:/Sound Design/weapon/_grenade/weapon_granade_explode
